State,y2014_15,y2015_16,y2016_17,y2017_18,y2018_19,y2019_20,2014pop,2015pop,2016pop,2017pop,2018pop,2019pop,2020pop,IDEA_perc_chng14_20,Spop_perc_chng14_20
Alabama,34388.0,34647,35458.0,36710.0,37640.0,39335.0,4841799,4852347,4863525,4874486,4887681,4903185,5024279,14.385832267069908,3.7688470752296825
Alaska,7215.0,7321,7382.0,7360.0,7338.0,7303.0,736283,737498,741456,739700,735139,731545,733391,1.2196812196812197,-0.3927837529862839
Arizona,53485.0,53859,54680.0,56769.0,58341.0,60497.0,6730413,6829676,6941072,7044008,7158024,7278717,7151502,13.110217818079835,6.2565105588616925
Arkansas,23997.0,24640,25409.0,26325.0,27285.0,28353.0,2967392,2978048,2989918,3001345,3009733,3017804,3011524,18.152269033629203,1.4872318857771403
California,299222.0,306490,315703.0,325636.0,336753.0,346298.0,38596972,38918045,39167117,39358497,39461588,39512223,39538223,15.73280039569283,2.438665395824315
Colorado,36371.0,37461,38451.0,39609.0,40868.0,42421.0,5350101,5450623,5539215,5611885,5691287,5758736,5773714,16.63413158835336,7.917850522821905
Connecticut,33115.0,33883,34642.0,35787.0,36790.0,37880.0,3594524,3587122,3578141,3573297,3571520,3565287,3605944,14.38924958478031,0.31770548756942507
Delaware,8255.0,8564,8832.0,9403.0,9848.0,10549.0,932487,941252,948921,956823,965479,973764,989948,27.789218655360386,6.162123439790582
Florida,149524.0,150839,153707.0,156931.0,163958.0,172640.0,19845911,20209042,20613477,20963613,21244317,21477737,21538187,15.459725529012063,8.52707643403218
Georgia,83716.0,85923,89026.0,91865.0,95758.0,100251.0,10067278,10178447,10301890,10410330,10511131,10617423,10711908,19.75130202111902,6.403220413700704
Hawaii,8630.0,8722,8668.0,8528.0,8392.0,8566.0,1414538,1422052,1427559,1424393,1420593,1415872,1455271,-0.7415990730011588,2.8795974374672153
Idaho,11301.0,11816,12565.0,13137.0,13640.0,14431.0,1631112,1651059,1682380,1717715,1750536,1787065,1839106,27.696664012034333,12.751668800180491
Illinois,121404.0,122061,121371.0,121900.0,122704.0,124326.0,12884493,12858913,12820527,12778828,12723071,12671821,12812508,2.4068399723238114,-0.5586948590060936
Indiana,70591.0,71512,72472.0,73899.0,74851.0,76300.0,6593644,6608422,6634304,6658078,6695497,6732219,6785528,8.087433242198014,2.910135882373995
Iowa,27470.0,27114,26855.0,26964.0,27591.0,28476.0,3109350,3120960,3131371,3141550,3148618,3155070,3190369,3.6621769202766656,2.6056571309116054
Kansas,25971.0,26348,26860.0,27250.0,27601.0,28145.0,2900475,2909011,2910844,2908718,2911359,2913314,2937880,8.370875206961612,1.2896163559416993
Kentucky,32614.0,32941,33430.0,33903.0,34351.0,35578.0,4414349,4425976,4438182,4452268,4461153,4467673,4505836,9.088121665542404,2.072491323182648
Louisiana,30426.0,31148,30916.0,31583.0,32704.0,33923.0,4644013,4664628,4678135,4670560,4659690,4648794,4657757,11.493459541181885,0.2959509372605115
Maine,13830.0,14122,14330.0,,14831.0,14958.0,1330513,1328262,1331317,1334612,1339057,1344212,1362359,8.156182212581346,2.3935128781154336
Maryland,43586.0,43941,44161.0,44129.0,44955.0,46101.0,5957283,5985562,6003323,6023868,6035802,6045680,6177224,5.770201440829624,3.6919683016569804
Massachusetts,74691.0,75013,74935.0,75800.0,76653.0,78434.0,6762596,6794228,6823608,6859789,6882635,6892503,7029917,5.011313277369429,3.9529346422586826
Michigan,85951.0,85203,84603.0,84106.0,83428.0,82980.0,9929848,9931715,9950571,9973114,9984072,9986857,10077331,-3.4566206326860653,1.4852493210369384
Minnesota,51657.0,52579,53867.0,54715.0,56034.0,57486.0,5451079,5482032,5522744,5566230,5606249,5639632,5706494,11.284046692607005,4.685586101393871
Mississippi,22969.0,23652,24474.0,25280.0,26313.0,27268.0,2990468,2988471,2987938,2988510,2981020,2976149,2961279,18.716530976533587,-0.9760679599313551
Missouri,49206.0,49755,50495.0,51085.0,52145.0,53314.0,6056202,6071732,6087135,6106670,6121623,6137428,6154913,8.348575376986545,1.6299159109950427
Montana,7290.0,7519,7663.0,8050.0,8351.0,8481.0,1021869,1030475,1040859,1052482,1060665,1068778,1084225,16.33744855967078,6.1021520371006455
Nebraska,18368.0,18709,19221.0,19662.0,20053.0,20437.0,1879321,1891277,1905616,1915947,1925614,1934408,1961504,11.264155052264808,4.37301557317776
Nevada,20352.0,21107,21594.0,23002.0,23598.0,25385.0,2817628,2866939,2917563,2969905,3027341,3080156,3104614,24.729756289308177,10.185375784170231
New Hampshire,13346.0,12898,12733.0,12776.0,12907.0,13002.0,1333341,1336350,1342307,1348787,1353465,1359711,1377529,-2.577551326240072,3.314080944034572
New Jersey,105278.0,105308,105576.0,106856.0,107294.0,108430.0,8864525,8867949,8870827,8885525,8886025,8882190,9288994,2.9939778491232736,4.788400957750133
New Mexico,19361.0,20232,21169.0,22045.0,22809.0,23470.0,2089568,2089291,2091630,2091784,2092741,2096829,2117522,21.223077320386345,1.3377884806811744
New York,199523.0,205786,207273.0,210894.0,213891.0,217507.0,19651049,19654666,19633428,19589572,19530351,19453561,20201249,9.01349719080006,2.799850532152253
North Carolina,83359.0,84550,84940.0,85304.0,85640.0,86265.0,9932887,10031646,10154788,10268233,10381615,10488084,10439388,3.4861262731078826,5.099232478935883
North Dakota,5492.0,5515,5574.0,5764.0,6035.0,6083.0,737401,754066,754434,754942,758080,762062,779094,10.761107064821559,5.654047119545539
Ohio,118032.0,117230,119060.0,120641.0,121787.0,123235.0,11602700,11617527,11634370,11659650,11676341,11689100,11799448,4.408126609732954,1.695708757444388
Oklahoma,46247.0,47530,48107.0,49222.0,50297.0,51009.0,3878187,3909500,3926331,3931316,3940235,3956971,3959353,10.296884122213333,2.0928851548416825
Oregon,34380.0,35035,35181.0,35340.0,35878.0,36585.0,3963244,4015792,4089976,4143625,4181886,4217737,4237256,6.4136125654450264,6.913831194849472
Pennsylvania,131715.0,133913,136280.0,139513.0,142715.0,148546.0,12788313,12784826,12782275,12787641,12800922,12801989,13002700,12.778347189006567,1.6764290958471224
Rhode Island,9704.0,9657,9582.0,9674.0,9781.0,9961.0,1055936,1056065,1056770,1055673,1058287,1059361,1097379,2.6483924154987633,3.9247643796593734
South Carolina,40727.0,41466,42159.0,42814.0,43265.0,44642.0,4823617,4891938,4957968,5021268,5084156,5148714,5118425,9.612787585631153,6.111762190074377
South Dakota,6362.0,6752,7049.0,7315.0,7503.0,7705.0,849129,853988,862996,872868,878698,884659,886667,21.10971392643823,4.4207652783028255
Tennessee,54367.0,55223,54639.0,53403.0,52586.0,52404.0,6541223,6591170,6646010,6708799,6771631,6829174,6910840,-3.610646164033329,5.6505794099971824
Texas,196829.0,201481,206711.0,212695.0,221586.0,237184.0,26964333,27470056,27914410,28295273,28628666,28995881,29145505,20.502568219114053,8.08910051659724
Utah,29601.0,30622,31341.0,32051.0,33005.0,33825.0,2936879,2981835,3041868,3101042,3153550,3205958,3271616,14.269788182831661,11.397711652403792
Vermont,6058.0,6016,6072.0,,6226.0,6493.0,625214,625216,623657,624344,624358,623989,643077,7.180587652690656,2.8571017283682068
Virginia,70130.0,71876,73239.0,74904.0,75873.0,77778.0,8310993,8361808,8410106,8463587,8501286,8535519,8631393,10.905461286182803,3.855135000113705
Washington,54597.0,55445,56531.0,57519.0,59376.0,60946.0,7054655,7163657,7294771,7423362,7523869,7614893,7705281,11.628844075681814,9.222648024602195
