State,21-Mar,5-Mar,11-Jun,17-Dec,17-Jun,18-21
Alabama,93472,8036,43304,37640,80944,4492
Alaska,19479,2477,8746,7338,16084,918
American Samoa,561,56,176,302,478,27
Arizona,144812,16746,64108,58341,122449,5617
Arkansas,74863,13497,31322,27285,58607,2759
Bureau of Indian Education,6754,240,3427,2816,6243,271
California,788268,86456,325409,336753,662162,39650
Colorado,105186,14471,45168,40868,86036,4679
Connecticut,82336,9785,31506,36790,68296,4255
Delaware,24382,2801,10392,9848,20240,1341
District of Columbia,14113,1895,6043,5348,11391,827
Federated States of Micronesia,1761,72,754,806,1560,129
Florida,405796,42076,175153,163958,339111,24609
Georgia,219111,18661,93562,95758,189320,11130
Guam,1929,149,606,1010,1616,164
Hawaii,19592,2555,7882,8392,16274,763
Idaho,34310,3866,15525,13640,29165,1279
Illinois,297960,38046,121999,122704,244703,15211
Indiana,178511,18914,74793,74851,149644,9953
Iowa,67990,7429,30363,27591,57954,2607
Kansas,75511,12105,32989,27601,60590,2816
Kentucky,106158,18232,49785,34351,84136,3790
Louisiana,86829,10484,39123,32704,71827,4518
Maine,34382,3642,14937,14831,29768,972
Maryland,110563,14645,45983,44955,90938,4980
Massachusetts,176627,18377,72616,76653,149269,8981
Michigan,199794,22073,83590,83428,167018,10703
Minnesota,141454,18353,59449,56034,115483,7618
Mississippi,69433,8261,31784,26313,58097,3075
Missouri,132286,18253,56469,52145,108614,5419
Montana,19380,1722,8833,8351,17184,474
Nebraska,52005,6551,23484,20053,43537,1917
Nevada,60120,8443,26152,23598,49750,1927
New Hampshire,29920,3677,12237,12907,25144,1099
New Jersey,241063,20701,103069,107294,210363,9999
New Mexico,53996,6607,22469,22809,45278,2111
New York,530702,73348,221174,213891,435065,22289
North Carolina,201658,20111,85454,85640,171094,10453
North Dakota,15902,2343,6798,6035,12833,726
Northern Marianas,964,108,383,394,777,79
Ohio,271090,26419,107134,121787,228921,15750
Oklahoma,115289,10309,49832,50297,100129,4851
Oregon,89125,11693,37330,35878,73208,4224
Pennsylvania,327908,37012,131452,142715,274167,16729
Puerto Rico,103137,11799,44838,43630,88468,2870
Republic of Palau,81,1,38,34,72,8
Republic of the Marshall Islands,603,9,200,325,525,69
Rhode Island,24170,3235,9712,9781,19493,1442
South Carolina,106521,9792,48560,43265,91825,4904
South Dakota,21712,2923,10433,7503,17936,853
Tennessee,130229,14592,56707,52586,109293,6344
Texas,532185,53750,229640,221586,451226,27209
Utah,86532,10741,39527,33005,72532,3259
Vermont,14911,2050,6031,6226,12257,604
Virgin Islands,1064,90,390,498,888,86
Virginia,175450,18807,71482,75873,147355,9288
Washington,147628,17140,64171,59376,123547,6941
West Virginia,47183,5245,21666,18144,39810,2128
Wisconsin,,,,,,
Wyoming,15487,3139,6721,5157,11878,470
"US, Outlying Areas, and Freely Associated States",7130238,815010,3022880,2949692,5972572,342656
