State,3 to 21,3 to 5 non K,5 K to 11,12 to 17,5 K to 17,18 to 21
Alabama,96429,8472,44373,39335,83708,4249
Alaska,19473,2474,8813,7303,16116,883
American Samoa,584,64,203,287,490,30
Arizona,148121,10552,71591,60497,132088,5481
Arkansas,76483,10144,35273,28353,63626,2713
Bureau of Indian Education,7023,9,3818,2883,6701,313
California,754502,50582,323448,346298,669746,34174
Colorado,109276,15029,47097,42421,89518,4729
Connecticut,85010,6406,36449,37880,74329,4275
Delaware,26060,3263,10987,10549,21536,1261
District of Columbia,14927,2146,6371,5550,11921,860
Federated States of Micronesia,1754,131,723,782,1505,118
Florida,420515,42980,181101,172640,353741,23794
Georgia,225610,11271,102978,100251,203229,11110
Guam,1854,148,605,979,1584,122
Hawaii,20125,2704,8050,8566,16616,805
Idaho,35846,4106,16040,14431,30471,1269
Illinois,300356,37946,122724,124326,247050,15360
Indiana,182135,19622,76535,76300,152835,9678
Iowa,69673,7831,30883,28476,59359,2483
Kansas,77559,9091,37495,28145,65640,2828
Kentucky,108475,18546,50778,35578,86356,3573
Louisiana,89121,10921,39850,33923,73773,4427
Maine,35020,2397,16668,14958,31626,997
Maryland,113714,15526,46989,46101,93090,5098
Massachusetts,179634,18906,73494,78434,151928,8800
Michigan,199147,20594,85053,82980,168033,10520
Minnesota,145888,19196,61635,57486,119121,7571
Mississippi,70329,8391,31699,27268,58967,2971
Missouri,132638,12606,61478,53314,114792,5240
Montana,19645,1047,9685,8481,18166,432
Nebraska,52774,6731,23721,20437,44158,1885
Nevada,63828,8787,27632,25385,53017,2024
New Hampshire,30400,3809,12538,13002,25540,1051
New Jersey,246693,14851,112640,108430,221070,10772
New Mexico,54147,3817,24973,23470,48443,1887
New York,540245,75084,225843,217507,443350,21811
North Carolina,203848,20909,86684,86265,172949,9990
North Dakota,16438,2492,7129,6083,13212,734
Northern Marianas,992,78,448,386,834,80
Ohio,275267,27487,109156,123235,232391,15389
Oklahoma,116875,10054,50906,51009,101915,4906
Oregon,91493,9009,41750,36585,78335,4149
Pennsylvania,339283,30533,143172,148546,291718,17032
Puerto Rico,103318,8206,48781,43377,92158,2954
Republic of Palau,90,6,40,41,81,3
Republic of the Marshall Islands,645,25,216,345,561,59
Rhode Island,24548,2350,10838,9961,20799,1399
South Carolina,108932,10399,49318,44642,93960,4573
South Dakota,22175,3039,10588,7705,18293,843
Tennessee,131408,14958,57968,52404,110372,6078
Texas,588317,35112,288262,237184,525446,27759
Utah,87968,7889,43111,33825,76936,3143
Vermont,15555,2128,6296,6493,12789,638
Virgin Islands,1103,78,442,497,939,86
Virginia,179481,19653,72811,77778,150589,9239
Washington,152495,18256,66418,60946,127364,6875
West Virginia,47278,5142,21463,18586,40049,2087
Wisconsin,,,,,,
Wyoming,15858,2399,7679,5289,12968,491
"US, Outlying Areas, and Freely Associated States",7278380,716382,3193709,3034188,6227897,334101
