State,21-Mar,5-Mar,11-Jun,17-Dec,17-Jun,18-21
Alabama,84278,7368,37673,34647,72320,4590
Alaska,18390,2115,8046,7321,15367,908
American Samoa,666,50,305,297,602,14
Arizona,132592,15328,57770,53859,111629,5635
Arkansas,68178,12981,28010,24640,52650,2547
Bureau Of Indian Education,6309,266,3168,2604,5772,271
California,727718,78610,302254,306490,608744,40364
Colorado,95101,12774,40276,37461,77737,4590
Connecticut,75030,8691,28449,33883,62332,4007
Delaware,20742,2030,9002,8564,17566,1146
District Of Columbia,12258,1471,4834,5094,9928,859
Federated States Of Micronesia,2047,133,802,986,1788,126
Florida,372476,39359,155882,150839,306721,26396
Georgia,202314,18201,88200,85923,174123,9990
Guam,2036,159,684,1071,1755,122
Hawaii,19223,2444,7320,8722,16042,737
Idaho,29718,3331,13436,11816,25252,1135
Illinois,296784,37878,120810,122061,242871,16035
Indiana,171368,18049,72147,71512,143659,9660
Iowa,63822,6226,27743,27114,54857,2739
Kansas,70762,11387,30211,26348,56559,2816
Kentucky,99283,17044,45719,32941,78660,3579
Louisiana,84221,10430,37967,31148,69115,4676
Maine,32531,3512,13898,14122,28020,999
Maryland,105440,13473,43082,43941,87023,4944
Massachusetts,168199,16802,67138,75013,142151,9246
Michigan,197316,20573,80706,85203,165909,10834
Minnesota,128218,15843,52396,52579,104975,7400
Mississippi,66799,8660,31594,23652,55246,2893
Missouri,126328,17123,53906,49755,103661,5544
Montana,17387,1592,7800,7519,15319,476
Nebraska,47795,5557,21672,18709,40381,1857
Nevada,55452,8838,23463,21107,44570,2044
New Hampshire,28806,3335,11385,12898,24283,1188
New Jersey,232401,18674,98316,105308,203624,10103
New Mexico,49667,4245,23182,20232,43414,2008
New York,499551,67067,203610,205786,409396,23088
North Carolina,198808,19070,85020,84550,169570,10168
North Dakota,13953,1972,5807,5515,11322,659
Northern Marianas,886,93,295,431,726,67
Ohio,253896,21897,99055,117230,216285,15714
Oklahoma,108459,9023,47007,47530,94537,4899
Oregon,84517,10374,34819,35035,69854,4289
Pennsylvania,303633,33022,120112,133913,254025,16586
Puerto Rico,123376,16303,53402,49978,103380,3693
Republic Of Palau,97,6,31,46,77,14
Republic Of The Marshall Islands,812,44,328,414,742,26
Rhode Island,23515,3022,9346,9657,19003,1490
South Carolina,101776,9432,45782,41466,87248,5096
South Dakota,19527,2627,9355,6752,16107,793
Tennessee,129386,12905,55082,55223,110305,6176
Texas,463238,43787,192500,201481,393981,25470
Utah,79932,10007,36247,30622,66869,3056
Vermont,13903,1774,5487,6016,11503,626
Virgin Islands,1207,132,404,573,977,98
Virginia,164757,16755,66939,71876,138815,9187
Washington,135757,15361,58401,55445,113846,6550
West Virginia,45297,5004,21064,17100,38164,2129
Wisconsin,120864,16089,49191,50320,99511,5264
Wyoming,15608,3367,6589,5121,11710,531
"US, Outlying Areas, And Freely Associated States",6814410,763685,2855119,2847459,5702578,348147
